"movie_id","genre"
"it-doesnt-hurt-me","Drama"
"it-doesnt-hurt-me","Romance"
"webbs","null"
"young-buckethead-vol-1","Music"
"the-half-hitching-post","null"
"fake-emperor","Comedy"
"the-clockmakers-dream","Fantasy"
"boris-il-film","Comedy"
"the-cartographer","Drama"
"the-cartographer","Fantasy"
"europe-after-the-rain","null"
"shadows-in-the-palace","Mystery"
"shadows-in-the-palace","Drama"
"shadows-in-the-palace","Thriller"
"lupin-the-third-farewell-to-nostradamus","Animation"
"lupin-the-third-farewell-to-nostradamus","Action"
"lupin-the-third-farewell-to-nostradamus","Adventure"
"who-killed-cock-robin-2017","Mystery"
"who-killed-cock-robin-2017","Thriller"
"who-killed-cock-robin-2017","Crime"
"the-cast-of-twin-peaks","Documentary"
"who-killed-aliyah","null"
"a-private-happiness","null"
"trinity-sunday","Drama"
"cleansed-ii","null"
"the-threepenny-opera-1963","Music"
"the-threepenny-opera-1963","Drama"
"the-threepenny-opera-1963","Comedy"
"black-panther-bitch-m","Action"
"what-farocki-taught","null"
"film-4","null"
"chi-town","Documentary"
"the-man-from-snowy-river","Drama"
"the-man-from-snowy-river","Romance"
"the-man-from-snowy-river","Adventure"
"the-man-from-snowy-river","Western"
"it-knows","null"
"cannibal-cult","Horror"
"once-upon-a-ladder","Comedy"
"once-upon-a-ladder","Romance"
"leonard-cohen-the-live-broadcast-sessions-1985-1993","null"
"acuna","null"
"time-to-remember","Crime"
"torrente-4-lethal-crisis","Action"
"torrente-4-lethal-crisis","Comedy"
"torrente-4-lethal-crisis","Crime"
"the-dead-center","Thriller"
"the-dead-center","Horror"
"the-dead-center","Mystery"
"panto-2014","null"
"won-ton-baby","Horror"
"the-young-seducers-2","Comedy"
"every-days-like-this","Drama"
"felix","Comedy"
"the-maid-2014","Romance"
"the-maid-2014","Drama"
"the-chinese-nightingale","Animation"
"the-chinese-nightingale","Fantasy"
"the-chinese-nightingale","Music"
"my-husbands-secret-wife","Thriller"
"my-husbands-secret-wife","TV Movie"
"a-constant-forge","Documentary"
"before-need-redressed","null"
"my-mothers-garden-2007","null"
"labyrinthus","Family"
"labyrinthus","Adventure"
"yamakasi","Action"
"yamakasi","Crime"
"yamakasi","Drama"
"forest-of-oppression-a-record-of-the-struggle-at-takasaki-city-university-of-economics","Documentary"
"doli-goes-home","Drama"
"junior-2014","Comedy"
"38-special-live-at-sturgis","null"
"kirsa-nicholina","null"
"metro-movietone-revue-1","Music"
"tiresia","Drama"
"welcome-home-1995","Drama"
"parers-war","Drama"
"skiptrace","Action"
"skiptrace","Comedy"
"skiptrace","Thriller"
"skiptrace","Mystery"
"doomsday-book","Science Fiction"
"doomsday-book","Fantasy"
"doomsday-book","Drama"
"green-dream","Drama"
"torment-of-the-flesh","Drama"
"torment-of-the-flesh","Crime"
"torment-of-the-flesh","Thriller"
"off-the-grid-2006","Action"
"off-the-grid-2006","Adventure"
"off-the-grid-2006","Documentary"
"aftermath-2004","Drama"
"mental-madhilo","Romance"
"mental-madhilo","Comedy"
"film:97573","Adventure"
"film:97573","Fantasy"
"the-silent-revolution-2018","Drama"
"the-silent-revolution-2018","History"
"el-hijo-del-pueblo","null"
"children-of-the-corn-runaway","Horror"
"panic-in-needle-park","null"
"singularity-2015","null"
"my-so-called-father","Drama"
"self-portrait-2006","null"
"crude-oil-2019","null"
"cuando-los-duendes-cazan-perdices","Comedy"
"cuando-los-duendes-cazan-perdices","Drama"
"the-kid-with-a-tattoo","Comedy"
"the-kid-with-a-tattoo","Action"
"the-wildcats-of-st-trinians","Comedy"
"parliament-funkadelic-one-nation-under-a-groove","null"
"tope","Drama"
"public-enemies","Drama"
"public-enemies","Crime"
"cisne","Drama"
"doll-factory","Horror"
"doll-factory","Comedy"
"oshaughnessys-boy","Drama"
"the-manual","Science Fiction"
"pre-evolution-soccers-one-minute-dance-after-a-golden-goal-in-the-master-league","Comedy"
"the-extra-day","Drama"
"the-extra-day","Comedy"
"hands-of-a-gunfighter","Western"
"serj-tankian-elect-the-dead-symphony","Music"
"choose-cheese","Documentary"
"grim-reaper","Horror"
"we-make-music","Comedy"
"we-make-music","Romance"
"exodus-live-at-bloodstock-2013","null"
"doctor-who-survival","Science Fiction"
"doctor-who-survival","Action"
"doctor-who-survival","Adventure"
"doctor-who-survival","TV Movie"
"the-living-coffin","Western"
"the-living-coffin","Horror"
"the-living-coffin","Mystery"
"the-living-coffin","Thriller"
"how-i-got-into-college","Comedy"
"how-i-got-into-college","Romance"
"how-i-got-into-college","Family"
"cattle-driven-to-slaughter","Documentary"
"kshatriya","null"
"who-flung-poo","null"
"dao","Drama"
"jealousy","Crime"
"the-star-of-bethlehem-1912","Drama"
"whats-the-next-job","null"
"how-to-swim","Animation"
"russell-howard-live-dingledodies","Comedy"
"green-street-hooligans","Crime"
"green-street-hooligans","Drama"
"wolf-2019","Horror"
"wolf-2019","Thriller"
"wolf-2019","Action"
"my-blind-brother","Comedy"
"my-blind-brother","Drama"
"my-blind-brother","Romance"
"beverly-hills-cop-iii","Action"
"beverly-hills-cop-iii","Comedy"
"beverly-hills-cop-iii","Crime"
"suckerpunch","Comedy"
"all-the-light-we-can-see","Drama"
"a-trip-on-the-metropolitan-railway","null"
"white-king-red-queen","null"
"marlon-wayans-woke-ish","Comedy"
"the-boob-tube","null"
"bad-boys-ii","Adventure"
"bad-boys-ii","Action"
"bad-boys-ii","Comedy"
"bad-boys-ii","Thriller"
"bad-boys-ii","Crime"
"a-reckoning","null"
"the-collectors","TV Movie"
"the-collectors","Crime"
"the-collectors","Action"
"the-case-of-the-baby-sitter","Mystery"
"the-case-of-the-baby-sitter","Comedy"
"the-case-of-the-baby-sitter","Crime"
"fort-tilden","Comedy"
"spiritual-love","Horror"
"the-photograph-2020","Drama"
"the-photograph-2020","Romance"
"judging-ladies-saddle-horses","Documentary"
"tape-crackers-an-oral-history-of-jungle-pirate-radio","Documentary"
"tape-crackers-an-oral-history-of-jungle-pirate-radio","Music"
"trap-1970","Thriller"
"trap-1970","Crime"
"midnight-orange","Documentary"
"three-hams-on-rye","Comedy"
"el-vizconde-de-montecristo","Comedy"
"grande-grosso-e-verdone","Comedy"
"los-temibles","null"
"spore","Science Fiction"
"pyar-jhukta-nahin","null"
"mother-gooses-birthday-party","null"
"man-of-iron-1935","Drama"
"rocky-mountain","Adventure"
"rocky-mountain","Western"
"to-my-beloved","Thriller"
"to-my-beloved","Action"
"to-my-beloved","Drama"
"in-the-net","Romance"
"in-the-net","Drama"
"the-everyday-ritual-of-solitude-hatching-monkeys","Documentary"
"the-land-of-cards","Fantasy"
"intimate-stranger","Thriller"
"coffee-samurai","Animation"
"coffee-samurai","Action"
"coffee-samurai","Romance"
"coffee-samurai","Comedy"
"lil-spider-girl","Animation"
"lil-spider-girl","Comedy"
"lil-spider-girl","Fantasy"
"woman-taxi-woman","null"
"bonobo-the-north-borders-tour-live","Documentary"
"bonobo-the-north-borders-tour-live","Music"
"helix","Action"
"helix","Mystery"
"helix","Science Fiction"
"the-miniver-story","Drama"
"dave-1990","null"
"ashura","Fantasy"
"ashura","Action"
"ashura","Horror"
"mad-sad-bad-2014","Fantasy"
"mad-sad-bad-2014","Horror"
"night-train-to-murder","Comedy"
"night-train-to-murder","Thriller"
"harold-and-the-purple-crayon-let-your-imagination-soar","null"
"lord-montagu","Documentary"
"2000-1","Drama"
"firefly-dreams-2001","Drama"
"cacaya","null"
"a-single-man","Romance"
"a-single-man","Drama"
"the-lucky-texan","Action"
"the-lucky-texan","Adventure"
"the-lucky-texan","Drama"
"the-lucky-texan","Romance"
"the-lucky-texan","Western"
"elements-of-nothing","null"
"the-den","Horror"
"the-den","Thriller"
"bark","Comedy"
"bark","Romance"
"shakespeare-behind-bars","Documentary"
"special-delivery-2002","Comedy"
"jesus-trilogy-and-coda","null"
"born-with-it","Drama"
"born-with-it","Family"
"iskioma","Drama"
"holiday-in-expectation-of-a-holiday","Drama"
"holiday-in-expectation-of-a-holiday","Family"
"holiday-in-expectation-of-a-holiday","Comedy"
"the-swan-song","null"
"father-1990","null"
"lowlife","Drama"
"lowlife","Fantasy"
"lowlife","Mystery"
"what-if-wendy","Science Fiction"
"a-mal-gam-a","Drama"
"purple-rain","Drama"
"purple-rain","Music"
"purple-rain","Romance"
"el-mishakhasaty","null"
"the-spook-who-sat-by-the-door","Action"
"the-spook-who-sat-by-the-door","Drama"
"the-spook-who-sat-by-the-door","Crime"
"pride-fc-hardcore-knockouts-vol-1","null"
"resturlaub","Comedy"
"resturlaub","Romance"
"the-golden-buttons","Documentary"
"fat","null"
"catcall","Horror"
"bonnie-clyde-justified","Action"
"business-plan-for-peace","Animation"
"business-plan-for-peace","Documentary"
"spoon","Family"
"spoon","Drama"
"early-summer","Drama"
"conjectures","null"
"the-lunchbox","Drama"
"the-lunchbox","Romance"
"a-room-for-romeo-brass","Comedy"
"a-room-for-romeo-brass","Drama"
"mining-review-16th-year-no5","Documentary"
"child-of-glass","Drama"
"child-of-glass","Family"
"child-of-glass","Fantasy"
"child-of-glass","TV Movie"
"guaxuma","Animation"
"guaxuma","Drama"
"long-road-to-gallantry","Action"
"love-stories-only-last-90-minutes","Romance"
"love-stories-only-last-90-minutes","Drama"
"love-stories-only-last-90-minutes","Comedy"
"give-us-the-moon","Comedy"
"3am-2015","Horror"
"buck-rogers","Science Fiction"
"hokus-pokus","Comedy"
"four-weddings-and-a-funeral","Comedy"
"four-weddings-and-a-funeral","Drama"
"four-weddings-and-a-funeral","Romance"
"raspberry-poser","null"
"bone","Comedy"
"bone","Thriller"
"the-little-polar-bear-lars-and-the-little-tiger","Family"
"the-little-polar-bear-lars-and-the-little-tiger","Animation"
"deviation","Horror"
"samson-and-the-slave-queen","Action"
"samson-and-the-slave-queen","Adventure"
"samson-and-the-slave-queen","Drama"
"the-dark-planet","Horror"
"the-dark-planet","Science Fiction"
"the-dark-planet","Fantasy"
"the-dark-planet","Animation"
"the-dark-planet","Mystery"
"43-the-richard-petty-story","Drama"
"static-stephen","null"
"rage-in-heaven","Crime"
"vibration-1984","null"
"prisoner","Horror"
"prisoner","Thriller"
"yakuza-weapon","Action"
"yakuza-weapon","Thriller"
"yakuza-weapon","Science Fiction"
"zeit-der-storche","Romance"
"zeit-der-storche","Drama"
"arrowed","null"
"hipolito-y-evita","Comedy"
"sidekick-2016","Drama"
"sidekick-2016","Action"
"sidekick-2016","Family"
"sidekick-2016","Fantasy"
"elevage-danimaux-de-menagerie","null"
"the-devil-baby-was-born-in-sao-paulo","Documentary"
"the-baron-against-the-demons","Fantasy"
"the-baron-against-the-demons","Action"
"the-baron-against-the-demons","Adventure"
"behind-the-mask-the-rise-of-leslie-vernon","Comedy"
"behind-the-mask-the-rise-of-leslie-vernon","Horror"
"behind-the-mask-the-rise-of-leslie-vernon","Thriller"
"punks-dead-slc-punk-2","Comedy"
"rambling-round-radio-row-1-1932","Documentary"
"rambling-round-radio-row-1-1932","Music"
